epoch,accuracy,loss,val_accuracy,val_loss
0,0.9040902256965637,0.27505630254745483,0.8277691006660461,0.39150071144104004
1,0.9214839339256287,0.23066949844360352,0.8980264663696289,0.325191468000412
2,0.9448468089103699,0.16643472015857697,0.8809041976928711,0.3568904399871826
3,0.9460275769233704,0.16154566407203674,0.8130147457122803,0.4176183044910431
4,0.9558330774307251,0.12474402040243149,0.8578158020973206,0.3636873662471771
5,0.9418615102767944,0.16011430323123932,0.8802286386489868,0.31433767080307007
6,0.9583606123924255,0.11637042462825775,0.8447911739349365,0.394427090883255
7,0.9610812067985535,0.10513459891080856,0.8634974360466003,0.35101354122161865
8,0.9448384642601013,0.13957661390304565,0.9139761924743652,0.24029265344142914
9,0.9602842330932617,0.10819396376609802,0.45151427388191223,1.1011408567428589
10,0.9523322582244873,0.13579976558685303,0.9145107865333557,0.28734079003334045
11,0.9679185748100281,0.09044105559587479,0.9125986099243164,0.3137878477573395
12,0.9566674828529358,0.1300540715456009,0.91019606590271,0.3236897885799408
13,0.957655131816864,0.12531375885009766,0.9163891077041626,0.2840355634689331
14,0.9648216962814331,0.1020626649260521,0.9075827598571777,0.31412187218666077
15,0.9701727032661438,0.08575566112995148,0.9074631929397583,0.3357347249984741
16,0.9710023999214172,0.08379906415939331,0.9283789396286011,0.2999623119831085
17,0.9714913964271545,0.08580069243907928,0.8706449270248413,0.4056333601474762
18,0.9651029109954834,0.10424888134002686,0.906084418296814,0.33564332127571106
19,0.9685042500495911,0.0902186706662178,0.9087480306625366,0.3222799301147461
20,0.9727102518081665,0.07697898149490356,0.9038906097412109,0.326152503490448
21,0.973054826259613,0.07563803344964981,0.9262844920158386,0.2797679007053375
22,0.9734786748886108,0.07240428030490875,0.9188011884689331,0.3129018545150757
23,0.9747920036315918,0.07103673368692398,0.9055054187774658,0.3779309391975403
24,0.9731832146644592,0.07396788895130157,0.9188186526298523,0.33262065052986145
25,0.9713006019592285,0.07984557002782822,0.912420928478241,0.33102336525917053
26,0.9737567901611328,0.07300718128681183,0.9044626951217651,0.3615930676460266
27,0.9750622510910034,0.07058488577604294,0.9194827079772949,0.3226741552352905
28,0.9759001135826111,0.06728629022836685,0.9156956672668457,0.3106616139411926
29,0.9722772240638733,0.0797705426812172,0.8639749884605408,0.41673675179481506
30,0.9761581420898438,0.06715134531259537,0.915780246257782,0.31494712829589844
31,0.9728531837463379,0.07677986472845078,0.9226313233375549,0.26810967922210693
32,0.974509596824646,0.07316999137401581,0.8392563462257385,0.44773873686790466
33,0.97136390209198,0.08303717523813248,0.9152639508247375,0.2924591898918152
34,0.9756467342376709,0.07107394188642502,0.8591449856758118,0.39987078309059143
35,0.9753520488739014,0.07100362330675125,0.9176967740058899,0.28227880597114563
36,0.9755131602287292,0.06981320679187775,0.9184036254882812,0.34241992235183716
37,0.9758982062339783,0.06903935968875885,0.9172763824462891,0.304360032081604
38,0.9765902161598206,0.06685352325439453,0.9173185229301453,0.3007114827632904
39,0.9770902395248413,0.0684303268790245,0.8638584613800049,0.4271783232688904
40,0.9779707193374634,0.06465673446655273,0.9180022478103638,0.30203700065612793
41,0.9783117175102234,0.06364936381578445,0.9162461757659912,0.3798222243785858
42,0.9789660573005676,0.061565250158309937,0.9221367835998535,0.3601813316345215
43,0.9792755246162415,0.06097748875617981,0.8777815699577332,0.4645688831806183
44,0.9795557856559753,0.06028365716338158,0.9217002987861633,0.4089356064796448
